TypeBasedGenerator.vx	TypeBasedGenerator.vy	STLCTypeBasedInitialGenerator.vx	STLCTypeBasedInitialGenerator.vy	STLCTypeBasedTrainedGenerator.vx	STLCTypeBasedTrainedGenerator.vy
0	0	0	0	0	0
0.038166	1	0.037371	1	0.017283	1
0.083315	2	0.041845999999999	2	0.017570000000000002	2
0.08344299999999999	3	0.050399	3	0.018271000000000003	3
0.088895	4	0.051473	4	0.019093	4
0.092708	5	0.054127999999999996	5	0.020826	5
0.092981	6	0.063651	6	0.024031999999999998	6
0.095656999999999	7	0.086508	7	0.029237	7
0.11941500000000001	8	0.088223	8	0.033385	8
0.207461999999999	9	0.088615	9	0.034012	9
0.248129	10	0.10605	10	0.035655	10
0.258305	11	0.129891	11	0.037147	11
0.304632	12	0.162759	12	0.045582000000000004	12
0.35213000000000005	13	0.238343	13	0.096467	13
0.39997499999999997	14	0.243203	14	0.140985	14
0.5702309999999999	15	0.327219	15	0.18809	15
0.7630129999999999	16	0.44211799999999996	16	0.20282000000000003	16
14.015681	17	5.805387	17	0.493274	17
15.117378	18	9.701630999999999	18	1.034354	18
19.241436	19	9.962603	19	1.257749	19
30.823143	20	10.814473	20	2.869969	20
60	20	60	20	60	20
