BespokeGenerator.vx	BespokeGenerator.vy	STLCBespokeInitialGenerator.vx	STLCBespokeInitialGenerator.vy	STLCBespokeTrainedGenerator.vx	STLCBespokeTrainedGenerator.vy
0	0	0	0	0	0
0.0013579999999999998	1	0.0036360000000000003	1	0.0005859999999990001	1
0.005634	2	0.004098	2	0.0012360000000000001	2
0.006182000000000001	3	0.004602999999999	3	0.001382	3
0.008371	4	0.005006	4	0.0016710000000000002	4
0.008407999999999001	5	0.0052759999999999994	5	0.0018939999999990002	5
0.008563000000000001	6	0.005331000000000001	6	0.002846	6
0.009316999999999999	7	0.005442000000000001	7	0.0047209999999999995	7
0.009375999999999001	8	0.005876999999999999	8	0.0049819999999999994	8
0.010981	9	0.009006	9	0.005239	9
0.011502	10	0.013195	10	0.005796000000000001	10
0.011911	11	0.015387999999999999	11	0.008342	11
0.016457	12	0.015392999999999999	12	0.008575	12
0.045492	13	0.037492	13	0.010447	13
0.050334000000000004	14	0.04234	14	0.012364000000000002	14
0.093071	15	0.049818999999999995	15	0.014794999999999999	15
0.09516500000000001	16	0.063303	16	0.017127	16
0.21090399999999998	17	0.090254	17	0.263443	17
0.29855200000000004	18	0.11141699999999999	18	0.32608600000000004	18
0.43362799999999996	19	0.12868700000000002	19	0.43739100000000003	19
0.46141000000000004	20	0.298188	20	0.7507240000000001	20
60	20	60	20	60	20
