1	0	1
2	1	2
3	2	3
4	2	4
5	2	5
6	3	6
7	3	7
8	4	8
9	4	9
10	5	10
11	5	11
12	5	12
13	5	13
14	5	14
15	5	15
16	5	16
17	5	17
18	5	18
19	5	19
20	5	19
21	5	20
22	5	21
23	5	22
24	5	23
25	5	23
26	6	24
27	6	25
28	6	26
29	6	26
30	7	27
31	7	28
32	8	28
33	8	28
34	8	28
35	8	29
36	9	30
37	9	31
38	9	32
39	9	33
40	9	34
41	9	34
42	9	35
43	9	36
44	10	37
45	10	38
46	10	39
47	10	39
48	11	40
49	11	40
50	11	41
51	11	42
52	11	42
53	11	43
54	11	44
55	11	45
56	11	46
57	11	47
58	11	48
59	11	49
60	11	50
61	12	50
62	13	50
63	13	51
64	13	52
65	13	52
66	13	53
67	13	54
68	13	55
69	13	56
70	13	57
71	14	58
72	14	58
73	15	58
74	15	59
75	15	60
76	15	60
77	15	61
78	15	62
79	15	62
80	15	63
81	15	64
82	15	64
83	16	64
84	16	64
85	16	65
86	16	65
87	16	65
88	16	65
89	16	66
90	16	66
91	16	66
92	16	66
93	17	67
94	18	68
95	18	68
96	18	68
97	18	69
98	18	69
99	18	69
100	18	69
101	18	69
102	18	70
103	18	70
104	18	70
105	18	70
106	18	70
107	18	70
108	18	70
109	18	71
110	18	72
111	18	72
112	18	72
113	18	72
114	18	73
115	18	73
116	18	74
117	18	75
118	19	76
119	19	76
120	19	77
121	19	77
122	19	77
123	19	78
124	19	78
125	19	78
126	19	79
127	19	79
128	19	79
129	20	80
130	20	80
131	20	81
132	20	81
133	20	82
134	20	82
135	20	83
136	20	83
137	20	83
138	20	83
139	20	83
140	20	84
141	20	84
142	20	84
143	20	85
144	20	86
145	20	87
146	20	87
147	20	87
148	20	87
149	20	88
150	20	88
151	20	88
152	20	88
153	20	88
154	20	88
155	20	88
156	20	88
157	20	89
158	20	89
159	20	89
160	20	90
161	20	91
162	20	91
163	21	91
164	21	92
165	21	93
166	21	93
167	22	93
168	23	93
169	23	93
170	23	93
171	23	93
172	23	93
173	23	94
174	23	94
175	23	95
176	23	96
177	24	97
178	24	97
179	24	97
180	24	97
181	24	97
182	24	97
183	24	97
184	24	97
185	24	98
186	24	99
187	24	99
188	24	99
189	24	99
190	24	100
191	24	100
192	24	100
193	24	100
194	24	100
195	24	100
196	24	100
197	24	101
198	25	101
199	25	101
200	25	102
201	25	102
202	25	102
203	25	103
204	25	103
205	25	103
206	25	103
