0	0.69
1	0.645
2	0.58
3	0.62
4	0.555
5	0.595
6	0.58
7	0.5
8	0.51
9	0.52
10	0.56
11	0.59
12	0.54
13	0.545
14	0.605
15	0.585
16	0.6
17	0.55
18	0.625
19	0.625
20	0.625
21	0.6
22	0.65
23	0.635
24	0.59
25	0.715
26	0.71
27	0.655
28	0.735
29	0.735
30	0.75
31	0.77
32	0.78
33	0.795
34	0.82
35	0.77
36	0.815
37	0.81
38	0.805
39	0.84
40	0.855
41	0.835
42	0.83
43	0.85
44	0.87
45	0.825
46	0.87
47	0.875
48	0.895
49	0.865
50	0.845
51	0.905
52	0.905
53	0.91
54	0.94
55	0.9
56	0.92
57	0.91
58	0.93
59	0.915
60	0.91
61	0.94
62	0.92
63	0.91
64	0.935
65	0.925
66	0.93
67	0.915
68	0.94
69	0.93
70	0.955
71	0.95
72	0.895
73	0.95
74	0.955
75	0.95
76	0.945
77	0.92
78	0.94
79	0.92
80	0.955
81	0.97
82	0.97
83	0.93
84	0.945
85	0.965
86	0.97
87	0.935
88	0.94
89	0.97
90	0.965
91	0.965
92	0.96
93	0.975
94	0.975
95	0.985
96	0.975
97	0.975
98	0.96
99	0.98
100	0.96
101	0.975
102	1.0
103	0.96
104	0.98
105	0.965
106	0.97
107	0.97
108	0.97
109	0.945
110	0.965
111	0.96
112	0.965
113	0.965
114	0.95
115	0.965
116	0.98
117	0.96
118	0.985
119	0.97
120	0.975
121	0.97
122	0.985
123	0.975
124	0.985
125	0.97
126	0.955
127	0.99
128	0.98
129	0.985
130	0.985
131	0.975
132	0.97
133	0.965
134	0.985
135	0.97
136	0.985
137	0.99
138	0.975
139	0.99
140	0.985
141	0.955
142	0.965
143	0.99
144	0.97
145	0.97
146	0.97
147	1.0
148	0.975
149	0.965
150	0.975
151	0.98
152	0.965
153	0.985
154	0.985
155	0.985
156	0.98
157	0.995
158	0.995
159	0.975
160	1.0
161	1.0
162	0.985
163	0.97
164	0.985
165	0.98
166	0.955
167	0.985
168	0.97
169	0.975
170	0.98
171	0.985
172	0.985
173	0.99
174	0.985
175	0.99
176	0.975
177	0.995
178	0.99
179	0.985
180	0.995
181	0.97
182	0.975
183	0.975
184	0.99
185	0.995
186	0.985
187	0.975
188	0.975
189	1.0
190	0.99
191	0.975
192	0.995
193	0.995
194	0.995
195	0.98
196	0.99
197	0.98
198	1.0
199	0.985
200	0.98
201	0.99
202	0.995
203	0.97
204	0.985
205	0.975
206	0.995
207	0.985
208	0.99
209	0.985
210	0.96
211	0.995
212	0.975
213	0.99
214	0.995
215	0.995
216	0.98
217	0.985
218	0.985
219	0.985
220	1.0
221	0.995
222	0.995
223	0.98
224	1.0
225	0.99
226	0.995
227	0.99
228	1.0
229	0.985
230	0.99
231	1.0
232	0.995
233	0.995
234	0.98
235	0.985
236	0.995
237	0.985
238	0.99
239	0.99
240	0.99
241	0.99
242	0.985
243	0.995
244	0.98
245	0.985
246	0.98
247	0.99
248	0.995
249	0.99
250	0.995
251	0.995
252	0.995
253	0.98
254	0.99
255	0.99
256	0.985
257	0.99
258	0.99
259	1.0
260	0.995
261	0.985
262	0.99
263	0.985
264	1.0
265	0.995
266	0.99
267	1.0
268	0.99
269	0.995
270	0.99
271	0.985
272	0.98
273	0.995
274	0.99
275	0.98
276	1.0
277	0.985
278	0.995
279	0.985
280	0.985
281	1.0
282	1.0
283	0.99
284	0.985
285	0.985
286	0.995
287	0.995
288	0.985
289	0.985
290	0.98
291	0.98
292	0.99
293	0.995
294	0.98
295	0.995
296	0.99
297	0.995
298	0.99
299	0.995
300	0.995
301	1.0
302	0.99
303	1.0
304	0.985
305	0.995
306	0.995
307	0.995
308	1.0
309	0.975
310	0.995
311	0.995
312	0.995
313	0.985
314	1.0
315	1.0
316	1.0
317	0.99
318	0.99
319	1.0
320	0.985
