TypeBasedGenerator.vx	TypeBasedGenerator.vy	BSTTypeBasedInitialGenerator.vx	BSTTypeBasedInitialGenerator.vy	BSTTypeBasedTrainedGenerator.vx	BSTTypeBasedTrainedGenerator.vy
0	0	0	0	0	0
0.00024599999999999996	1	0.00022799999999999999	1	0.000155	1
0.000408	2	0.000259	2	0.000155	2
0.00046	3	0.000417	3	0.000178	3
0.00046	4	0.00045799999999999997	4	0.00018899999999999999	4
0.0005200000000000001	5	0.000512	5	0.00019600000000000002	5
0.00054	6	0.0005859999999990001	6	0.00023899999999900002	6
0.00054	7	0.000638	7	0.00026199999999999997	7
0.000549	8	0.0006529999999999999	8	0.000303	8
0.00055	9	0.0006749999999999999	9	0.00031299999999999996	9
0.0005700000000000001	10	0.0007700000000000001	10	0.000317	10
0.0005769999999990001	11	0.0008500000000000001	11	0.000321	11
0.00058	12	0.001055	12	0.00034	12
0.000621	13	0.0011049999999999999	13	0.00034	13
0.0006479999999999999	14	0.0011179999999999999	14	0.00036899999999999997	14
0.0006600000000000001	15	0.001147	15	0.00039099999999999996	15
0.00076	16	0.0014659999999999999	16	0.000435	16
0.0007790000000000001	17	0.0019450000000000001	17	0.00046499999999999997	17
0.0008	18	0.002231	18	0.00047599999999900006	18
0.0008200000000000001	19	0.0022689999999999997	19	0.000532	19
0.0008700000000000001	20	0.002287	20	0.0006000000000000001	20
0.0009310000000000001	21	0.002428	21	0.00064	21
0.0009469999999990001	22	0.002633	22	0.0006630000000000001	22
0.001021	23	0.002686	23	0.0006820000000000001	23
0.0011610000000000001	24	0.003000999999999	24	0.0006889999999990001	24
0.0012050000000000001	25	0.0032040000000000003	25	0.0007	25
0.0013419999999999999	26	0.0036070000000000004	26	0.000709	26
0.0015379999999999999	27	0.0037619999999999997	27	0.000815	27
0.001841	28	0.004011	28	0.000838	28
0.0018800000000000002	29	0.004066	29	0.000861	29
0.002003	30	0.005131	30	0.00088	30
0.0025640000000000003	31	0.006659	31	0.000888	31
0.002751999999999	32	0.008171	32	0.000996	32
0.002794	33	0.008695999999999999	33	0.000998	33
0.0032170000000000002	34	0.009093	34	0.0010049999999990002	34
0.0035870000000000003	35	0.00956	35	0.001023	35
0.004261999999999	36	0.010639	36	0.001037	36
0.008461999999999999	37	0.011923999999999999	37	0.0011409999999999999	37
0.011412	38	0.012865999999999999	38	0.001176	38
0.011587	39	0.015456999999999999	39	0.001266	39
0.013191999999999999	40	0.015683	40	0.001273	40
0.013221	41	0.016165	41	0.001357	41
0.019674999999999998	42	0.01711	42	0.0017829999999990002	42
0.030237	43	0.018122	43	0.002626	43
0.030955999999999997	44	0.018795000000000003	44	0.0035819999999999997	44
0.038895000000000006	45	0.029962	45	0.0047139999999999994	45
0.039025	46	0.040461	46	0.00478	46
0.056894999999999994	47	0.071943	47	0.00553	47
0.167927	48	0.085454	48	0.0061129999999999995	48
0.522164	49	0.22322699999999998	49	0.009649	49
60	49	60	49	60	49
