TypeBasedGenerator.vx	TypeBasedGenerator.vy	RBTTypeBasedInitialGenerator.vx	RBTTypeBasedInitialGenerator.vy	RBTTypeBasedTrainedGenerator.vx	RBTTypeBasedTrainedGenerator.vy
0	0	0	0	0	0
0.00016700000000000002	1	0.00016900000000000002	1	0.000124	1
0.000290999999999	2	0.000435	2	0.00018099999999999998	2
0.000417999999999	3	0.00043599999999999997	3	0.000235	3
0.0005200000000000001	4	0.0006169999999999999	4	0.000236	4
0.00055	5	0.000878	5	0.00025100000000000003	5
0.0008	6	0.001583	6	0.00033099999999999997	6
0.0008900000000000001	7	0.002085999999999	7	0.000544	7
0.00092	8	0.003444999999999	8	0.0005629999999990001	8
0.0009429999999990001	9	0.0041389999999999995	9	0.0006259999999999999	9
0.001119	10	0.004176999999999	10	0.000714	10
0.00124	11	0.005320999999999999	11	0.0007800000000000001	11
0.001405	12	0.006795	12	0.0008719999999999999	12
0.001878	13	0.007043000000000001	13	0.0009140000000000001	13
0.0021230000000000003	14	0.009653	14	0.001041	14
0.002643	15	0.01094	15	0.001248	15
0.003965	16	0.017422999999999002	16	0.0014470000000000002	16
0.005668999999999	17	0.017661000000000003	17	0.001785	17
0.019659	18	0.019138000000000002	18	0.0024709999999999997	18
0.021041	19	0.024326	19	0.0024790000000000003	19
0.031017999999999997	20	0.028985999999999998	20	0.003346	20
0.049815	21	0.047070999999999995	21	0.006834	21
0.19647	22	0.094474999999999	22	0.008317999999999	22
0.286225	23	0.103214	23	0.011021999999999999	23
0.30186799999999997	24	0.173058	24	0.019031	24
0.324296	25	0.333577	25	0.026031	25
4.5403410000000015	26	0.5368700000000001	26	0.038456000000000004	26
5.09729	27	0.8334229999999999	27	0.038959	27
6.955416	28	1.372276	28	0.047490000000000004	28
60	28	60	28	60	28
